code;id;name;mainRoute;routeIds
504401;MTA_504401;QUEENS BL/ELIOT AV;MTABC_Q60;['MTABC_Q60']
504403;MTA_504403;QUEENS BL/62 DR;MTABC_Q60;['MTA NYCT_Q59', 'MTABC_Q60']
504404;MTA_504404;QUEENS BL/59 AV;MTABC_Q60;['MTABC_Q29', 'MTA NYCT_Q59', 'MTABC_Q60']
504458;MTA_504458;QUEENS BL/QUEENS PLZ E;MTABC_Q60;['MTA NYCT_Q32', 'MTABC_Q60']
504999;MTA_504999;QUEENS BL/87 AV;MTABC_Q60;['MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTABC_Q60']
505000;MTA_505000;QUEENS BL/86 AV;MTABC_Q60;['MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTABC_Q60']
505009;MTA_505009;QUEENS BL/MAIN ST;MTABC_Q60;['MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTA NYCT_Q44+', 'MTABC_Q60', 'MTA NYCT_X68']
505010;MTA_505010;QUEENS BL/86 AV;MTABC_Q60;['MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTABC_Q60']
505032;MTA_505032;QUEENS BL/87 AV;MTABC_Q60;['MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTABC_Q60']
505097;MTA_505097;QUEENS BL/48 ST;MTABC_Q60;['MTA NYCT_Q32', 'MTABC_Q60']
505158;MTA_505158;QUEENS PLAZA S/28 ST;MTABC_Q60;['MTA NYCT_Q32', 'MTABC_Q60']
550024;MTA_550024;SUTPHIN BL/109 AV;MTABC_Q60;['MTABC_Q06', 'MTABC_Q60']
550025;MTA_550025;SUTPHIN BL/YATES RD;MTABC_Q60;['MTABC_Q06', 'MTABC_Q60']
550027;MTA_550027;SUTPHIN BL/TUSKEGEE AIRMEN WAY;MTABC_Q60;['MTABC_Q06', 'MTABC_Q40', 'MTABC_Q60']
550028;MTA_550028;SUTPHIN BL/LIBERTY AV;MTABC_Q60;['MTABC_Q06', 'MTABC_Q40', 'MTABC_Q60']
550030;MTA_550030;SUTPHIN BL /95 AV;MTABC_Q60;['MTABC_Q06', 'MTABC_Q08', 'MTABC_Q09', 'MTABC_Q40', 'MTABC_Q60']
550031;MTA_550031;SUTPHIN BL /ARCHER AV;MTABC_Q60;['MTABC_Q06', 'MTABC_Q60']
550038;MTA_550038;SUTPHIN BL/91 AV;MTABC_Q60;['MTABC_Q60']
550040;MTA_550040;SUTPHIN BL /97 AV;MTABC_Q60;['MTABC_Q06', 'MTABC_Q08', 'MTABC_Q09', 'MTABC_Q40', 'MTABC_Q60']
550041;MTA_550041;SUTPHIN BL/LIBERTY AV;MTABC_Q60;['MTABC_Q06', 'MTABC_Q40', 'MTABC_Q60']
550042;MTA_550042;SUTPHIN BL/TUSKEGEE AIRMEN WAY;MTABC_Q60;['MTABC_Q06', 'MTABC_Q40', 'MTABC_Q60']
550043;MTA_550043;SUTPHIN BL/LAKEWOOD AV;MTABC_Q60;['MTABC_Q06', 'MTABC_Q60']
550378;MTA_550378;QUEENS BL /80 RD;MTABC_Q60;['MTABC_Q10', 'MTABC_Q60']
