id;longName;shortName
MTABC_QM2;Bay Terrace - Midtown Via 6Th Av;QM2
MTABC_QM8;Glen Oaks - Downtown;QM8
MTABC_QM5;Glen Oaks - Midtown Via 6Th Av;QM5
MTABC_QM4;Electchester - Midtown Via 6Th Av;QM4
MTABC_QM7;Fresh Meadows - Downtown;QM7
MTABC_QM6;Lake Success - Midtown Via 6Th Av;QM6
MTABC_BXM2;Riverdale - West Midtown;BxM2
MTABC_BXM1;Riverdale - East Midtown;BxM1
MTABC_BXM6;Parkchester - Midtown;BxM6
MTABC_BXM4;Woodlawn - Midtown;BxM4
MTABC_BXM3;Yonkers - Midtown;BxM3
MTABC_BXM9;Throgs Neck - Midtown;BxM9
MTABC_BXM8;Pelham Bay/City Island - Midtown;BxM8
MTABC_BXM7;Co-Op City - Midtown;BxM7
MTABC_Q25;Jamaica - Flushing - College Point;Q25
MTABC_Q22;Roxbury - Rockaway Pk - Far Rockaway;Q22
MTABC_Q21;Elmhurst / Queens Ctr - Howard Beach;Q21
MTABC_Q23;East Elmhurst - Forest Hills;Q23
MTABC_Q29;Jackson Heights - Glendale;Q29
MTABC_QM31;Fresh Meadows - Midtown Via 3Rd Av;QM31
MTABC_QM32;Bay Terrace - Midtown Via 3Rd Av;QM32
MTABC_QM35;Glen Oaks - Midtown Via 3Rd Av;QM35
MTABC_QM36;Lake Success - Midtown Via 3Rd Av;QM36
MTABC_QM34;Glendale - Midtown Via 3Rd Av;QM34
MTABC_Q11;Elmhurst / Queens Ctr - Old Howard Bch;Q11
MTABC_Q10;Kew Gardens - Jfk Airport;Q10
MTABC_Q19;Astoria - Flushing;Q19
MTABC_Q18;Astoria - Maspeth;Q18
MTABC_QM42;Forest Hills - Midtown Via 3Rd Av;QM42
MTABC_QM40;Lefrak City - Midtown Via 3Rd Av;QM40
MTABC_QM44;Electchester - Midtown Via 3Rd Av;QM44
MTABC_Q06;Jamaica - Sutphin Blvd - Jfk Cargo Area;Q6
MTABC_Q08;Gateway Mall / East Ny - Jamaica;Q8
MTABC_Q07;East Ny - Rockaway Blvd - Jfk Cargo Area;Q7
MTABC_Q09;South Ozone Park - Jamaica;Q9
MTA NYCT_M34+;East Side - Javits Center;M34-SBS
MTA NYCT_D90;D Shuttle Bus - Mosholu Pkwy #4 - 205 St;D90
MTA NYCT_B52;Downtown Brooklyn - Ridgewood;B52
MTA NYCT_Q24;Broadway Junction - Jamaica;Q24
MTA NYCT_S66;St. George - Port Richmond;S66
MTA NYCT_Q27;Cambria Heights - Flushing;Q27
MTA NYCT_Q26;Fresh Meadows - Flushing (Part-time);Q26
MTA NYCT_Q28;Bayside - Flushing;Q28
MTA NYCT_B46+;Kings Plaza - Williamsburg;B46-SBS
MTA NYCT_S61;St. George - Staten Island Mall;S61
MTA NYCT_SIM15;Eltingville - Lower Manhattan Express;SIM15
MTA NYCT_S62;St. George - Travis;S62
MTA NYCT_B44;Sheepshead Bay - Williamsburg;B44
MTA NYCT_B43;Greenpoint - Lefferts Gardens;B43
MTA NYCT_SIM10;Eltingville - Midtown Manhattan Express;SIM10
MTA NYCT_B46;Kings Plaza - Williamsburg;B46
MTA NYCT_SIM11;New Dorp - Midtown Manhattan Express;SIM11
MTA NYCT_B45;Downtown Brooklyn - Crown Heights;B45
MTA NYCT_B48;Lefferts Gardens - Greenpoint;B48
MTA NYCT_B47;Kings Plaza - Bedford-Stuyvesant;B47
MTA NYCT_SIM9;Eltingville - Greenwich Village Express;SIM9
MTA NYCT_B49;Manhattan Beach - Bedford-Stuyvesant;B49
MTA NYCT_SIM8;Huguenot - Midtown Manhattan Express;SIM8
MTA NYCT_SIM7;Eltingville - Greenwich Village Express;SIM7
MTA NYCT_SIM6;Eltingville - Midtown Manhattan Express;SIM6
MTA NYCT_B60;Williamsburg - Canarsie;B60
MTA NYCT_SIM5;Eltingville - Lower Manhattan Express;SIM5
MTA NYCT_SIM4;Eltingville - Lower Manhattan Express;SIM4
MTA NYCT_B62;Downtown Brooklyn - Long Island City;B62
MTA NYCT_SIM1C;Eltingville - Manhattan Express;SIM1C
MTA NYCT_SIM3;Pt. Richmond - Midtown Manhattan Express;SIM3
MTA NYCT_B61;Park Slope - Downtown Brooklyn;B61
MTA NYCT_SIM2;Tottenville - Lower Manhattan Express;SIM2
MTA NYCT_B64;Bay Ridge - Coney Island;B64
MTA NYCT_SIM1;Eltingville - Lower Manhattan Express;SIM1
MTA NYCT_B63;Bay Ridge - Cobble Hill;B63
MTA NYCT_S76;St. George - Oakwood;S76
MTA NYCT_Q36;Floral Park or Little Neck - Jamaica;Q36
MTA NYCT_S78;St. George - Bricktown Mall;S78
MTA NYCT_S79+;Staten Island Mall - Bay Ridge;S79-SBS
MTA NYCT_BX12+;Bay Plaza - Inwood;Bx12-SBS
MTA NYCT_Q30;Little Neck or Queensborough Community College - Jamaica;Q30
MTA NYCT_SIM24;Prince's Bay - Midtown Manhattan Express;SIM24
MTA NYCT_SIM25;Tottenville - Midtown Manhattan Express;SIM25
MTA NYCT_Q32;Jackson Heights - Penn Station;Q32
MTA NYCT_S74;St. George - Bricktown Mall;S74
MTA NYCT_SIM26;Tottenville - Midtown Manhattan Express;SIM26
MTA NYCT_Q31;Bayside - Jamaica;Q31
MTA NYCT_B54;Downtown Brooklyn - Ridgewood;B54
MTA NYCT_B57;Gowanus - Maspeth;B57
MTA NYCT_SIM22;Eltingville - Midtown Manhattan Express;SIM22
MTA NYCT_L90;L Shuttle Bus - Lorimer St - Myrtle Wyckoff Avs;L90
MTA NYCT_SIM23;Annadale - Midtown Manhattan Express;SIM23
MTA NYCT_L92;L Shuttle Bus - Abingdon Sq - FDR Drive;L92
MTA NYCT_BX2;Kingsbridge Heights - Mott Haven;Bx2
